Entry	Entry Name	Reviewed	Protein names	Gene Names	Organism	Length
Q8DRL6	Q8DRL6_STRR6	unreviewed	Beta-N-acetyl-hexosaminidase (EC 3.2.1.52)	strH spr0057	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	1312
Q8I9N0	Q8I9N0_BRAFL	unreviewed	chitinase (EC 3.2.1.14)	VCBP3	Branchiostoma floridae (Florida lancelet) (Amphioxus)	334
Q8J0P4	CRF1_ASPFU	reviewed	Probable glycosidase crf1 (EC 3.2.-.-) (Crh-like protein 1) (allergen Asp f 9)	crf1 AFUA_1G16190	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293) (Neosartorya fumigata)	395
Q8J2T0	HEXA_ASPOZ	reviewed	Beta-hexosaminidase (EC 3.2.1.52) (AoHEX) (Beta-N-acetylglucosaminidase) (Beta-N-acetylhexosaminidase) (Hex)	nagA hexA OAory_01008480	Aspergillus oryzae (Yellow koji mold)	600
Q8K2I4	MANBA_MOUSE	reviewed	Beta-mannosidase (EC 3.2.1.25) (Lysosomal beta A mannosidase) (Mannanase) (Mannase)	Manba Bmn	Mus musculus (Mouse)	879
Q8KKG0	Q8KKG0_9FLAO	unreviewed	Cyclomaltodextrinase (EC 3.2.1.54)	cdase	Flavobacterium sp. 92	619
Q8L5J1	MAN4_SOLLC	reviewed	Mannan endo-1,4-beta-mannosidase 4 (EC 3.2.1.78) (Beta-mannanase 4) (Endo-beta-1,4-mannanase 4) (LeMAN4a) (LeMAN4i)	MAN4	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)	399
Q8NK89	ABFB_ASPKW	reviewed	Alpha-L-arabinofuranosidase B (ABF B) (Arabinosidase B) (EC 3.2.1.55)	abfB AKAW_08685	Aspergillus kawachii (strain NBRC 4308) (White koji mold) (Aspergillus awamori var. kawachi)	499
Q8RY29	ADPG2_ARATH	reviewed	Polygalacturonase ADPG2 (AtADPG2) (PG ADPG2) (EC 3.2.1.15) (Pectinase ADPG2) (Protein ARABIDOPSIS DEHISCENCE ZONE POLYGALACTURONASE 2)	ADPG2 PGAZAT At2g41850 T11A7.5	Arabidopsis thaliana (Mouse-ear cress)	433
Q8TAT5	NEIL3_HUMAN	reviewed	Endonuclease 8-like 3 (EC 3.2.2.-) (EC 4.2.99.18) (DNA glycosylase FPG2) (DNA glycosylase/AP lyase Neil3) (Endonuclease VIII-like 3) (Nei-like protein 3)	NEIL3	Homo sapiens (Human)	605
Q8TTH3	HDG_METAC	reviewed	Hypoxanthine DNA glycosylase (HDG) (EC 3.2.2.-)	MA_0462	Methanosarcina acetivorans (strain ATCC 35395 / DSM 2834 / JCM 12185 / C2A)	158
Q8VVD2	Q8VVD2_GEOSE	unreviewed	Xylan alpha-1,2-glucuronidase (EC 3.2.1.131)	aguA	Geobacillus stearothermophilus (Bacillus stearothermophilus)	679
Q8WPJ2	MANA_MYTED	reviewed	Mannan endo-1,4-beta-mannosidase (EC 3.2.1.78) (Beta-mannanase) (Endo-beta-1,4-mannanase) (Man5A) (ManA)		Mytilus edulis (Blue mussel)	367
Q8YBL1	Q8YBL1_BRUME	unreviewed	5'-methylthioadenosine nucleosidase / s-adenosylhomocysteine nucleosidase (EC 3.2.2.16, EC 3.2.2.9)	BMEII0888	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	209
Q8YF53	TCPB_BRUME	reviewed	Probable 2' cyclic ADP-D-ribose synthase TcpB (2'cADPR synthase TcpB) (EC 3.2.2.-) (Brucella TIR-containing protein 1) (Btp1) (NAD(+) hydrolase TcpB) (EC 3.2.2.6) (TIR domain-containing protein in Brucella) (TcpB)	tcpB btp1 btpA BMEI1674	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	250
Q8YWS9	Q8YWS9_NOSS1	unreviewed	beta-fructofuranosidase (EC 3.2.1.26)	invA alr1521	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576)	468
Q91UM2	UNG_VACCA	reviewed	Uracil-DNA glycosylase (UDG) (EC 3.2.2.27)	OPG116 UNG MVA101R ACAM3000_MVA_101	Vaccinia virus (strain Ankara) (VACV)	218
Q92383	MAG1_SCHPO	reviewed	DNA-3-methyladenine glycosylase 1 (EC 3.2.2.21) (3-methyladenine DNA glycosidase 1) (3MEA DNA glycosylase 1)	mag1 SPAPB24D3.04c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	228
Q931U5	ATL_STAAM	reviewed	Bifunctional autolysin [Includes: N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28); Mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase (EC 3.2.1.96)]	atl nag SAV1052	Staphylococcus aureus (strain Mu50 / ATCC 700699)	1248
Q93HT9	IABN_GEOTD	reviewed	Intracellular endo-alpha-(1->5)-L-arabinanase (ABN) (EC 3.2.1.99) (Endo-1,5-alpha-L-arabinanase)	abn-ts	Geobacillus thermodenitrificans	313
Q93IE7	Q93IE7_9BACL	unreviewed	Glucanase (EC 3.2.1.-)		Paenibacillus fukuinensis	797
Q93RE7	Q93RE7_BACGL	unreviewed	alpha-L-rhamnosidase (EC 3.2.1.40)	rhaB	Bacillus sp. (strain GL1)	956
Q94G86	ALL9_OLEEU	reviewed	Glucan endo-1,3-beta-D-glucosidase (EC 3.2.1.39) (Major pollen allergen Ole e 9) (allergen Ole e 9)	OLE9	Olea europaea (Common olive)	460
Q96FI4	NEIL1_HUMAN	reviewed	Endonuclease 8-like 1 (EC 3.2.2.-) (EC 4.2.99.18) (DNA glycosylase/AP lyase Neil1) (DNA-(apurinic or apyrimidinic site) lyase Neil1) (Endonuclease VIII-like 1) (FPG1) (Nei homolog 1) (NEH1) (Nei-like protein 1)	NEIL1	Homo sapiens (Human)	390
Q96TU3	INUE_ASPAW	reviewed	Extracellular exo-inulinase inuE (EC 3.2.1.80)	inuE inu1	Aspergillus awamori (Black koji mold)	537
Q97WH6	Q97WH6_SACS2	unreviewed	Purine nucleosidase, putative (IunH-2) (EC 3.2.2.1)	iunH-2 SSO2243	Saccharolobus solfataricus (strain ATCC 35092 / DSM 1617 / JCM 11322 / P2) (Sulfolobus solfataricus)	307
Q99P21	MUTYH_MOUSE	reviewed	Adenine DNA glycosylase (EC 3.2.2.31) (MutY homolog) (mMYH)	Mutyh Myh	Mus musculus (Mouse)	515
Q9BQ69	MACD1_HUMAN	reviewed	ADP-ribose glycohydrolase MACROD1 (MACRO domain-containing protein 1) (O-acetyl-ADP-ribose deacetylase MACROD1) (EC 3.1.1.106) (Protein LRP16) ([Protein ADP-ribosylaspartate] hydrolase MACROD1) (EC 3.2.2.-) ([Protein ADP-ribosylglutamate] hydrolase MACROD1) (EC 3.2.2.-)	MACROD1 LRP16	Homo sapiens (Human)	325
Q9BZP6	CHIA_HUMAN	reviewed	Acidic mammalian chitinase (AMCase) (EC 3.2.1.14) (Lung-specific protein TSA1902)	CHIA	Homo sapiens (Human)	476
Q9CE95	Q9CE95_LACLA	unreviewed	Chitinase (EC 3.2.1.14)	chiA L9964	Lactococcus lactis subsp. lactis (strain IL1403) (Streptococcus lactis)	492
Q9F4D5	Q9F4D5_BIFBI	unreviewed	Beta-galactosidase (EC 3.2.1.23)		Bifidobacterium bifidum	1752
Q9F5I8	CGIA_ALTMA	reviewed	Iota-carrageenase (EC 3.2.1.157)	cgiA	Alteromonas macleodii (Pseudoalteromonas macleodii)	491
Q9FBI2	STXA_SHIDY	reviewed	Shiga toxin subunit A (EC 3.2.2.22)	stxA	Shigella dysenteriae	315
Q9FUH3	Q9FUH3_VIGUS	unreviewed	chitinase (EC 3.2.1.14)		Vigna unguiculata subsp. sesquipedalis (Yard-Long bean) (Vigna sesquipedalis)	297
Q9HYC5	TSE3_PSEAE	reviewed	Peptidoglycan muramidase Tse3 (Toxin Tse3) (EC 3.2.1.17)	tse3 PA3484	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	408
Q9I739	TSE6_PSEAE	reviewed	NAD(P)(+) glycohydrolase toxin Tse6 (EC 3.2.2.5)	tse6 PA0093	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	430
Q9I983	Q9I983_GADMO	unreviewed	Uracil-DNA glycosylase (UDG) (EC 3.2.2.27)	UNG UNG1 ung1	Gadus morhua (Atlantic cod)	301
Q9K5C7	Q9K5C7_9MICO	unreviewed	cellulase (EC 3.2.1.4)	celA	Clavibacter michiganensis	745
Q9KG76	ENG1_HALH5	reviewed	Glucan endo-1,3-beta-D-glucosidase (Endo-1,3-beta-glucanase) (EC 3.2.1.39) (Laminarinase)	BH0236	Halalkalibacterium halodurans (strain ATCC BAA-125 / DSM 18197 / FERM 7344 / JCM 9153 / C-125) (Bacillus halodurans)	1020
Q9KIJ7	Q9KIJ7_SALTM	unreviewed	Glucan endo-1,6-beta-glucosidase (EC 3.2.1.75) (Glycosyl hydrolase) (Glycosyl hydrolase family 30 TIM-barrel domain protein) (Lysosomal glucosyl ceramidase) (Lysosomal glucosyl ceramidase-like type III secretion effector SrfJ) (SrfJ)	srfJ A3S30_23745 A3T81_10915 A3U32_18700 A3V03_07835 A3V89_01735 A3W57_13035 A3W75_04855 A3X15_03370 A3X55_02995 A3Y76_12140 A4N07_11595 A4O05_04520 A4O41_04905 A4R48_05875 A6D61_03980 A9U69_23865 AAA76_03140 AAB27_14180 AAB79_02710 AAC35_05640 ADQ28_20510 AF497_23645 AGM99_01145 AHN93_01155 AIT36_20525 AKH62_18710 AL144_04120 AL168_01735 AL184_03305 AQ530_03135 AU613_13750 AVA38_01035 AVC05_01135 AVL16_08335 AXX99_05660 B1265_01145 B1398_07185 B1642_10090 B1P38_04540 B2E31_02995 B4V59_03480 B4W90_08180 B6362_05235 B7Q27_01145 B8Y16_05505 B8Z46_08445 B9C90_07100 B9C96_05045 B9M14_07185 B9O84_03300 BBQ66_05225 BG493_20595 BIC00_07970 BIC13_06105 BK110_09215 BKM50_10955 BMS46_01145 BMU56_08675 BZ203_06595 BZZ88_08870 C5W43_07850 CA117_06265 CAC56_20200 CAC59_20755 CB102_00625 CB119_00625 CB198_06835 CB380_07360 CB535_06550 CB570_00630 CB646_04655 CBM67_11035 CBM76_09355 CBZ90_04795 CC339_03675 CC403_02975 CC453_01680 CC652_08785 CC971_07045 CCP17_01140 CDZ72_02840 CE70_13145 CED07_03015 CEQ70_07125 CFF58_07170 CFF59_06740 CHN22_13055 CIX60_07400 CPS79_03370 CQO33_04575 CSG22_03165 D4361_14825 D4387_08625 D4422_03030 D5823_08910 D5N86_01195 D5N95_09400 D5O82_05290 D5P17_06435 D5X47_10685 D5Y28_07365 D6422_07960 D6J79_11635 D8S24_10325 DD95_23765 DLB93_10595 DLR28_11215 DMI89_17840 DMO92_10500 DN165_10230 DNB97_18850 DNM27_04765 DNZ37_04800 DO533_07515 DP680_10580 DPB42_02270 DPD91_03130 DPF41_01200 DPF68_05325 DPS76_02990 DQR44_05830 DRM14_08390 DRT38_03715 DRT61_24015 DRV05_04745 DSF94_09275 DSG41_03930 DTF68_08500 DU071_05255 DU223_08035 DU657_03590 DU879_05670 DUV75_11155 DWU22_08135 DY580_24685 DYM27_09210 E0935_03165 E1A11_11430 E6W45_09340 EBD14_09965 EBK21_08335 EC404_01995 EEQ30_17800 EER35_05185 EHB09_15320 EL822_04480 ELS01_12625 EPB30_12370 EQG93_06255 EVY71_18675 EW905_03830 F0D96_09690 F2P00_09475 F3Q97_10425 F3R12_05795 F9G02_04495 F9O44_00630 FE758_03615 FEM52_07515 FGZ46_01145 FJM64_10160 FQC24_06150 G0038_08885 G0040_04115 G0042_09170 G0045_08385 G0047_09925 G0048_11495 G0051_10075 G0052_11670 G0059_08290 G0061_09175 G0062_11125 G0063_11050 G0067_10055 G0069_11400 G0070_06390 G0071_11160 G0072_05200 G0074_07260 G0076_11870 G0077_11425 G0080_07910 G0084_12440 G0086_08380 G0087_11495 G0088_10545 G0090_04780 G0094_08150 G0100_08675 G0101_17420 G0102_10590 G0111_08430 G0113_03425 G0117_10365 G0123_11495 G0124_12945 G0148_08880 G0157_10915 G0170_13860 G0A05_04385 G0A28_06905 G0A32_05955 G0A39_05880 G0A43_04665 G0A46_12590 G0A50_08660 G0A51_08900 G0A52_05365 G0A53_07190 G0A58_07090 G0A60_10285 G0A61_07285 G0A63_04440 G0A67_07575 G0A68_05315 G0A70_08510 G0A73_09105 G0A76_08215 G0A79_11330 G0A92_09850 G0A96_09250 G0A97_08740 G0B03_12275 G0B05_09770 G0B07_10595 G0B08_11565 G0B12_11100 G0B96_04405 G0C03_14035 G0C04_15280 G0C34_07155 G0E15_02770 G0E20_05760 G0G84_20960 G0J24_13355 G0J26_11930 G0J27_03165 G0J28_11605 G0J31_06370 G0J33_10770 G0J34_13040 G0J36_08390 G0J37_19825 G0J40_09935 G0J43_01170 G0J44_20035 G0J45_08355 G0J46_15085 G0J47_19455 G0J49_09125 G0J50_01180 G0J51_09965 G0J53_06020 G0J55_19055 G0J58_08175 G0J59_05260 G0J62_21465 G0J65_08350 G0J66_03930 G0J67_07125 G0J69_07170 G0J71_05500 G0J73_03620 G0J76_07070 G0J79_06480 G0J81_06750 G0J82_03490 G0J85_08210 G0J89_01180 G0J92_05270 G0J94_04035 G0J96_06480 G0J97_04065 G0K00_04390 G0K02_10340 G0K03_10620 G0K04_15755 G0K05_22570 G0K07_05700 G0K10_01190 G0K13_08735 G0K15_08585 G0K16_08010 G0K18_04340 G0K19_01055 G0K20_02230 G0K23_08710 G0K25_05000 G0K26_13680 G0K28_08895 G0K30_08655 G0K31_09070 G0K32_00180 G0K33_08195 G0K37_03390 G0K38_06340 G0K39_23625 G0K41_03990 G0K42_10505 G0K46_09985 G0K47_08305 G0K48_01180 G0K49_05300 G0K52_04030 G0K53_04575 G0K56_04270 G0K58_02610 G0K59_01180 G0K61_05145 G0K65_08100 G0K68_01170 G0K70_04300 G0K72_08680 G0K74_02405 G0K75_09365 G0K78_08730 G0K80_01175 G0K83_07135 G0K84_09435 G0K85_01180 G0K88_002869 G0K89_002574 G0K90_002645 G0K94_000619 G0K95_002688 G0L00_003854 G0L02_003212 G0L03_15080 G0L06_14525 G0L07_19520 G0L10_17470 G0L14_05015 G0L15_01195 G0L18_14005 G0L19_00830 G0L20_04480 G0L24_06965 G0L25_04575 G0L29_02325 G0L31_03415 G0L32_04350 G0L34_05280 G0L35_02165 G0L36_03960 G0L37_06745 G0L38_05865 G0L40_01820 G0L42_00060 G0L48_01435 G0L49_01780 G0L51_08200 G0L52_09235 G0L55_08185 G0L59_06650 G0L62_08430 G0L63_08035 G0L65_11710 G0L67_06710 G0L68_08710 G0L70_01135 G0L73_10735 G0L76_10090 G0L77_03145 G0L78_06155 G0L79_07065 G0L83_05435 G0L86_001525 G0L88_06150 G0L89_07790 G0L91_02895 G0L93_03985 G0L96_08265 G0L98_03980 G0M00_03775 G0M05_10040 G0M06_001315 G0M13_001092 G0M14_13090 G0M16_06900 G0M18_002902 G0M21_01975 G0M22_001309 G0M25_001129 G0M26_09030 G0M29_001324 G0M30_07200 G0M33_02290 G0M35_10745 G0M36_04830 G0M38_07920 G0M39_06710 G0M41_07630 G0M45_03500 G0M46_001312 G0M48_001347 G0M53_07695 G0M55_06895 G0M56_07785 G0M65_06305 G0M67_07995 G0N45_07560 G0N48_14810 G0N51_03465 G0N53_13520 G0N55_08640 G0N57_00370 G0N58_07450 G0N59_13185 G0N60_10495 G0N61_06580 G0N62_07470 G0N64_08265 G0N65_07005 G0N66_10415 G0N67_08085 G0N71_04420 G0N75_13010 G0N78_07550 G0N82_09170 G0N84_10495 G0N85_09995 G0N86_12075 G0N88_16540 G0N89_12260 G0N90_08580 G0N92_17400 G0N94_20470 G0N95_03825 G0N98_02225 G0N99_04390 G0O00_05335 G0O03_06210 G0O10_09185 G0O14_14010 G0O15_06650 G0O18_13385 G0O19_10215 G0O20_12850 G0O22_08115 G0O25_07245 G0O27_14190 G0O31_14440 G0O32_12485 G0O36_09795 G0O37_06680 G0O39_14810 G0O40_17470 G0O41_14885 G0O42_04235 G0O43_16430 G0O44_11340 G0O47_04285 G0O52_08985 G0O55_14745 G0O57_04235 G0O58_07575 G0O59_06445 G0O60_06925 G0O63_06450 G0O66_06860 G0O68_04430 G0O70_16820 G0O71_11195 G0O74_04050 G0O75_08320 G0O77_15440 G0O78_12570 G0O80_08570 G0O81_04475 G0O82_11290 G0O84_16285 G0O85_08625 G0O86_04130 G0O87_08975 G0O88_06930 G0O89_10350 G0O92_09945 G0O93_06990 G0O94_04465 G0O97_13850 G0O99_15860 G0P00_05470 G0P01_15675 G0P02_10315 G0P05_04135 G0P06_09160 G0P08_06945 G0P12_03480 G0P13_08565 G0P17_13115 G0P18_10210 G0P19_13065 G0P24_19105 G0P26_11195 G0P28_16745 G0P30_11130 G0P31_07910 G0P36_11220 G0P37_20290 G0P41_21755 G0P44_21980 G0P45_17165 G0P48_16990 G0P49_13865 G0P52_10025 G0P56_15795 G0P57_12910 G0P58_14470 G0P63_03020 G0P65_10405 G0P67_05900 G0P68_15400 G0P69_17820 G0P73_11495 G0P75_02990 G0P76_11120 G1N61_10345 G1N64_12040 G1N66_12030 G1N68_11725 G1N71_12875 G1N72_12035 G1N86_13175 G1N87_12055 G1N91_13895 G1O00_12285 G1O02_13180 G1O04_12045 G1O05_12030 G1O08_13160 G1O12_13185 G1O16_13180 G1O17_11805 G1O18_13180 G1O20_13175 G1O23_12045 G1O25_13170 G1O26_13175 G1O27_12110 G1O28_12940 G1O29_12105 G1O32_13165 G1O34_13245 G1O38_13585 G1O40_13185 G1O43_13170 G1O46_11685 G1O48_12950 G1O49_12160 G1O51_13175 G1O53_13240 G1O62_13180 G1O63_13165 G1O65_12950 G1O67_12495 G1O68_11345 G1O69_12735 G1O71_12730 G1O72_11480 G1O76_13260 G1O77_13175 G1O80_13265 G1O81_12035 G1O83_11630 G1O84_13255 G1O87_13260 G1O88_13250 G1O89_13185 G1O90_13255 G1O93_13250 G1O94_13245 G1O96_13250 G1P02_13245 G1P03_12905 G1P06_12925 G1P09_12200 G1P10_13200 G1P12_13250 G1P14_09800 G1P15_13595 G1P17_13265 G1P19_13250 G1P23_13255 G1P24_13170 G1P25_11480 G1P26_13170 G1P29_12885 G1P31_13240 G1P35_13175 G1P36_13170 G1P37_12830 G1P40_12055 G1P44_13175 G1P45_13255 G1P47_12110 G1P48_13255 G1P51_13255 G1P52_12830 G1P53_12830 G1P54_13265 G1P55_12945 G1P56_13235 G1P57_10345 G1P58_13245 G1P59_13260 G1P61_12725 G1P64_12950 G1P67_13250 G1P69_13165 G1P72_12140 G1P75_13195 G1P76_12840 G1P78_12120 G1P83_11850 G1P84_13180 G1P87_13250 G1P90_12985 G1P91_13245 G1Q03_12860 G1Q08_12345 G1Q67_13255 G1Q78_09500 G1Q81_10965 G1Q83_12120 G1Q84_08275 G1Q85_10990 G1Q86_11340 G1Q88_11350 G1Q90_11795 G1Q91_12045 G1Q93_08795 G1Q96_12010 G1Q98_11535 G1Q99_09160 G1R01_13170 G1R02_12280 G1R03_13250 G1R04_13195 G1R08_08870 G1R13_11600 G1R15_09065 G1R20_13970 G1R21_11100 G1R22_10910 G1R23_08385 G1R27_11630 G1R28_12700 G1R29_13260 G1R30_12945 G1R31_11875 G1R36_13260 G1R38_17805 G1R40_11880 G1R42_13175 G1R44_12940 G1R45_09565 G1R47_12475 G1R48_06065 G1R51_12025 G1R53_13255 G1R63_13255 G1R69_09350 G1R87_11605 G1R93_12855 G1S02_12120 G2203_10975 G2212_02015 G2218_07215 G2221_13040 G2279_10125 G2290_05335 G2793_02515 G2918_01155 G2951_13470 G3221_001048 G3230_003235 G3231_001270 G3247_000549 G3248_003365 G3254_000585 G3263_000931 G3270_000151 G3275_001904 G3312_004502 G3336_000755 G3357_000758 G3369_001482 G3433_002143 G3460_002818 G3464_003726 G3593_000979 G3A35_04185 G3V06_002271 G3V14_001689 G3V17_001537 G3V21_004495 G3V56_001869 G3V57_001308 G3X03_002110 G4189_001690 G4190_003279 G4192_002060 G4201_002171 G4202_000429 G4A01_004820 G4A73_001348 G4A83_002541 G4A85_001009 G4A87_001926 G4B68_003810 G4B72_002377 G4B74_002141 G4C74_001395 G4D32_001095 G4D46_001259 G4F88_03510 G4F89_20860 G4F91_20515 G4F92_03510 G4G47_000232 G4G62_000107 G4G67_001829 G4G68_000708 G4G75_001158 G4G76_001698 G4G79_000429 G4G97_000891 G4H00_001769 G4H04_001010 G4H07_000349 G4H08_000898 G4H18_001898 G4H21_001941 G4H24_001887 G4H63_003112 G4I66_002037 G4J07_004813 G4J08_000931 G4J11_003143 G4J12_003952 G4J18_001677 G4J37_002622 G4J39_001802 G4J41_000975 G4J45_002924 G4J90_004439 G4K02_002097 G4K03_002910 G4O54_001924 G4O56_000580 G4O59_002330 G4O60_002347 G4O67_001947 G4O69_001066 G4P29_001431 G4P83_001930 G4P85_001198 G4P89_000673 G4P91_001899 G4P93_000853 G4Q12_001144 G4Q28_001887 G4Q31_001886 G4Q50_001351 G4Q52_001351 G4Q59_000853 G4Q60_001437 G4Q63_001338 G4Q67_000345 G4Q94_000904 G4R01_002810 G4R02_000853 G4R15_001342 G4R16_001627 G4W68_001255 G4W73_002928 G4W86_001783 G4W87_002176 G4W88_002611 G4W91_000912 G4Y10_001634 G9269_002048 G9302_001996 G9304_000551 G9305_000725 G9309_000707 G9313_001366 G9314_001197 G9367_002707 G9381_001145 G9C24_002405 G9C41_002169 G9C46_000504 G9C47_001947 G9C49_002280 G9C57_002177 G9C64_001508 G9G03_000745 G9G04_001903 G9G34_002416 G9G45_002772 G9G50_002275 G9G62_003149 G9W19_003346 G9W28_000770 G9W45_003392 G9W52_000276 G9W63_000417 G9W65_001894 G9W79_001539 G9W95_001895 G9W96_001030 G9X40_002747 GB021_08050 GB040_22480 GB055_01135 GB076_23340 GB106_03815 GB114_03455 GB120_09935 GB122_01150 GB131_03895 GB139_10805 GB171_08260 GB209_06320 GB221_02125 GB224_08025 GB238_04115 GB280_08530 GB321_08325 GB331_05545 GB339_01145 GB342_14265 GB368_02115 GB372_02085 GB416_09470 GB452_08490 GB459_04465 GB466_06650 GB505_01150 GB510_22265 GB567_11635 GB645_04330 GBS44_11235 GBS58_11870 GBV53_08000 GBV54_06955 GBV60_04175 GBW03_04715 GBW52_06900 GBW76_04480 GBX12_03035 GBX20_03130 GBX46_04235 GBX55_05660 GBX64_05975 GBY13_09385 GBY73_09910 GBZ51_11735 GBZ55_05745 GCZ80_05420 GEZ01_11945 GJE27_15860 GNA88_000832 GNA97_000898 GNA99_000832 GNB28_001999 GNB36_002308 GNB86_001966 GNC11_002640 GNC19_000881 GNC45_001907 GNC75_001171 GNC95_002043 GT380_10600 GTH60_04860 GTH62_10455 GTH63_14995 GTH66_10970 GTH67_20385 GTH68_11335 GTH70_07560 GTH72_05075 GTH73_13715 GTH75_15930 GTH77_07290 GTH78_06935 GTH79_08945 GTH81_00135 GTH85_15445 GTH87_06925 GTH89_08575 GTH90_06740 GTH91_13955 GTH93_15380 GTH94_09890 GTH99_14490 GXC51_01150 GXC56_01150 GXG40_01150 GYI58_05365 GYI62_001877 GYI77_07470 GYJ04_21710 GYJ24_08300 GYJ27_06210 GYJ28_000643 GYJ30_08050 GYJ32_08305 GYJ53_13260 GYJ59_06880 GYJ60_13240 H8S97_22570 JJB80_22260 JJB81_22255 KP44_01145 NG06_20875 R035_14375 SE14_04671 SEL4126_40290 STMLT2P22_CBEKMEGD_00578 Z700_05960 ZV33_04395 ZX03_00135 ZY40_07820	Salmonella typhimurium	447
Q9KN42	VGRG3_VIBCH	reviewed	Type VI secretion system spike protein VgrG3 (Muramidase Vgrg3C) (EC 3.2.1.-)	vgrG3 VC_A0123	Vibrio cholerae serotype O1 (strain ATCC 39315 / El Tor Inaba N16961)	1017
Q9KPK8	UNG_VIBCH	reviewed	Uracil-DNA glycosylase (UDG) (EC 3.2.2.27)	ung VC_2359	Vibrio cholerae serotype O1 (strain ATCC 39315 / El Tor Inaba N16961)	226
Q9KU37	NAGZ_VIBCH	reviewed	Beta-hexosaminidase (EC 3.2.1.52) (Beta-N-acetylhexosaminidase) (N-acetyl-beta-glucosaminidase)	nagZ VC_0692	Vibrio cholerae serotype O1 (strain ATCC 39315 / El Tor Inaba N16961)	330
Q9P868	Q9P868_PIREQ	unreviewed	Cellulase (EC 3.2.1.4)	cel45A	Piromyces equi	410
Q9RC92	UGL_BACGL	reviewed	Unsaturated glucuronyl hydrolase (UGL) (EC 3.2.1.179) (Glycosaminoglycan hydrolase) (Glycuronidase) (Unsaturated uronic acid hydrolase)	ugl	Bacillus sp. (strain GL1)	377
Q9RHG4	MVL_MICVR	reviewed	Lectin MVL (Mannan-binding lectin) (N-acetyl-beta-glucosaminidase) (EC 3.2.1.-) (Oligomannoside-binding lectin)	mvl	Microcystis viridis	114
Q9RL93	Q9RL93_STAAU	unreviewed	DNA-3-methyladenine glycosidase (DNA-3-methyladenine glycosylase (EC 3.2.2.20)) (DNA-3-methyladenine glycosylase 1) (DNA-3-methyladenine glycosylase I)	tag tag_2 ACR67_01580 BG726_08610 C7M54_09480 DD547_01739 EIH03_01145 EP54_09265 EQ90_02405 FAF17_03955 GJH16_05330 GO723_06385 GO814_13200 GO942_04865 GQX37_11830 NCTC10702_02609 NCTC13131_06387 SAHC1335_03672 SAMEA103891221_02240 SAMEA103891415_01697 SAMEA2077334_02628 SAMEA2078260_02529 SAMEA2078588_02525 SAMEA2079520_02678 SAMEA2080344_02527 SAMEA2080903_02579 SAMEA2081063_02282 SAMEA4008575_02168 SAMEA70146418_01005	Staphylococcus aureus	186
Q9RPL0	Q9RPL0_9FIRM	unreviewed	Endoglucanase (EC 3.2.1.4)	cipV	Acetivibrio cellulolyticus	1915
Q9RX51	TREZ_DEIRA	reviewed	Malto-oligosyltrehalose trehalohydrolase (MTHase) (EC 3.2.1.141) (4-alpha-D-((1->4)-alpha-D-glucano)trehalose trehalohydrolase) (Maltooligosyl trehalose trehalohydrolase)	treZ DR_0464	Deinococcus radiodurans (strain ATCC 13939 / DSM 20539 / JCM 16871 / CCUG 27074 / LMG 4051 / NBRC 15346 / NCIMB 9279 / VKM B-1422 / R1)	600
Q9S7S8	Q9S7S8_HORVU	unreviewed	Limit dextrinase (EC 3.2.1.41)		Hordeum vulgare (Barley)	962
Q9SU50	TRE1_ARATH	reviewed	Trehalase (EC 3.2.1.28) (Alpha,alpha-trehalase) (Alpha,alpha-trehalose glucohydrolase) (Trehalase 1) (AtTRE1)	TRE1 At4g24040 T19F6.15 T19F6.30	Arabidopsis thaliana (Mouse-ear cress)	626
Q9UEF7	KLOT_HUMAN	reviewed	Klotho (EC 3.2.1.31) [Cleaved into: Klotho peptide]	KL	Homo sapiens (Human)	1012
Q9UKM7	MA1B1_HUMAN	reviewed	Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase (EC 3.2.1.113) (ER alpha-1,2-mannosidase) (ER mannosidase 1) (ERMan1) (Man9GlcNAc2-specific-processing alpha-mannosidase) (Mannosidase alpha class 1B member 1)	MAN1B1 UNQ747/PRO1477	Homo sapiens (Human)	699
Q9UZY0	AGOG_PYRAB	reviewed	N-glycosylase/DNA lyase (8-oxoguanine DNA glycosylase) (EC 3.2.2.-) (AGOG) (DNA-(apurinic or apyrimidinic site) lyase) (AP lyase) (EC 4.2.99.18)	PYRAB10170 PAB1695	Pyrococcus abyssi (strain GE5 / Orsay)	239
